Code,Taxa,Abundance,Alk,Date,SiteID,SampleID,WaterbodyID
AC9999,Achnanthes sp.,1,25,23-Apr-2012,Loch Dee @ SW shore,2054564,4005
BR001A,Brachysira vitrea,10,25,23-Apr-2012,Loch Dee @ SW shore,2054564,4005
BR006A,Brachysira brebissonii fo. brebissonii,7,25,23-Apr-2012,Loch Dee @ SW shore,2054564,4005
BR010A,Brachysira neoexilis,7,25,23-Apr-2012,Loch Dee @ SW shore,2054564,4005
BR9999,Brachysira sp.,26,25,23-Apr-2012,Loch Dee @ SW shore,2054564,4005
CM023A,Cymbella pusilla,3,25,23-Apr-2012,Loch Dee @ SW shore,2054564,4005
CM057A,Cymbella mesiana,1,25,23-Apr-2012,Loch Dee @ SW shore,2054564,4005
CV001A,Cavinula cocconeiformis,1,25,23-Apr-2012,Loch Dee @ SW shore,2054564,4005
EU009A,Eunotia exigua,3,25,23-Apr-2012,Loch Dee @ SW shore,2054564,4005
EU9999,Eunotia sp.,27,25,23-Apr-2012,Loch Dee @ SW shore,2054564,4005
EY017A,Cymbella gracilis,5,25,23-Apr-2012,Loch Dee @ SW shore,2054564,4005
FU002A,Frustulia rhomboides,7,25,23-Apr-2012,Loch Dee @ SW shore,2054564,4005
GO006A,Gomphonema acuminatum,1,25,23-Apr-2012,Loch Dee @ SW shore,2054564,4005
NA037A,Navicula angusta,1,25,23-Apr-2012,Loch Dee @ SW shore,2054564,4005
NA047A,Navicula protracta,1,25,23-Apr-2012,Loch Dee @ SW shore,2054564,4005
NA124A,Navicula molestiformis,2,25,23-Apr-2012,Loch Dee @ SW shore,2054564,4005
NA147A,Navicula laterostrata,2,25,23-Apr-2012,Loch Dee @ SW shore,2054564,4005
NI008A,Nitzschia frustulum,4,25,23-Apr-2012,Loch Dee @ SW shore,2054564,4005
NI9999,Nitzschia sp.,1,25,23-Apr-2012,Loch Dee @ SW shore,2054564,4005
PE002A,Peronia fibula,6,25,23-Apr-2012,Loch Dee @ SW shore,2054564,4005
PI9999,Pinnularia sp.,14,25,23-Apr-2012,Loch Dee @ SW shore,2054564,4005
RC002A,Rhoicosphenia abbreviata,2,25,23-Apr-2012,Loch Dee @ SW shore,2054564,4005
